Museum,University,Abbreviation,IPTurl,IPTCollCount,Mammals,Herps,Birds,Fish,Special,Paleo,Tissues,NonVert,Country,State,City
SysTax - a Database System for Systematics and Taxonomy,Ruhr-University of Bochum,SysTax,,1,,,,,,,,,DEU,,Bochum
Taiwan Biodiversity Information Facility,,TAIBIF,http://taibif.tw/ipt/,1,,P,,,,,,,TWN,,Taipei
The Georgia College Natural History Museum,Georgia College and State Museum,,,1,,,-1,,,,,,USA,GA,Milledgeville
Truman State University,Truman State University,TSU,,4,-1,-1,-1,-1,,,,,USA,MO,Kirksville
UK National Biodiversity Network,,NBN,,1,,,,,,,,,GBR,,Nottingham
Universidad Autonoma de Mexico Facultad de Ciencias Museo de ZoologÃ_a de la Facultad de Ciencias,Universidad Nacional Autonoma de Mexico,"MZFC, UNAM, UNIBIO",,3,-1,-1,-1,,,,,,MEX,,Mexico City
"Universidad de la RepÃºblica, Facultad de Ciencias",Universidad de la RepÃºblica,URFC,,1,,,,,,,,,URY,,Montevideo
"Universidade de BrasÃ_lia, Departamento de Zoologia",Universidade de BrasÃ_lia,UBDZ,,1,,,,,,,,,BRA,,BrasÃ_lia
University of Costa Rica,University of Costa Rica,UCR,http://www.crbio.cr/ipt/,1,,,,,,,,,CRI,,San Jose
"University of Navarra, Museum of Zoology, Navarra Spain",University of Navarra,UNAV,,3,,,,,,,,,SPN,,Navarra
Virginia Institute of Marine Science,College of William and Mary,VIMS,,1,,,,-1,,,,,USA,VA,Williamsburg
West Virginia Biological Survey Museum,Marshall University,,,2,-1,-1,,,,,,,USA,WV,Huntington
Western Soundscape Archive,University of Utah,,,1,,,-1,,,,,,USA,UT,Salt Lake City
Zoological Institute St. Petersburg,Russian Academy of Sciences,"ZIN, ZISP",,3,-1,-1,-1,,,,,,RUS,,St. Petersburg
Zoological Museum Amsterdam,,ZMA,,3,,,,,,,,,ANT,,Amsterdam
Zoology Museum of Adnan Menderes University,Adnan Menderes University,ZMAMU,,1,,,,,,,,,TUR,,Aydin
